snapshot,arm,anchor_physical_distance_m,anchor_success,inversion_hit,best_corrective_advantage_m,best_any_advantage_m,any_success_gain,selected_success_any,best_selected_distance_m,proxy_rejected_fraction,mean_proxy_rank_fraction,mean_action_distance_from_anchor
36,proxy_hard,8.673617379884035e-17,1,0.0,0.0,0.0,0.0,1.0,8.673617379884035e-17,1.0,0.9882943143812709,4.34049787592011
36,proxy_rejected_stratified_diverse,8.673617379884035e-17,1,0.0,0.0,0.0,0.0,1.0,8.673617379884035e-17,1.0,0.49080267558528423,5.216388266255835
36,random_final_population,8.673617379884035e-17,1,0.0,0.0,0.0,0.0,1.0,8.673617379884035e-17,1.0,0.5133779264214047,4.363498058865618
37,action_diverse,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5351170568561873,5.227806916415466
37,proxy_hard,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9882943143812709,4.452755045018261
37,proxy_rejected_stratified_diverse,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5041806020066889,5.439552315732131
37,random_final_population,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.39715719063545146,4.251871938835665
38,action_diverse,0.2886324805570892,0,1.0,0.021036407530354295,0.021036407530354295,0.0,0.0,0.2675960730267349,1.0,0.47282608695652173,5.68039163711013
38,proxy_hard,0.2886324805570892,0,1.0,0.02637315288796599,0.02637315288796599,0.0,0.0,0.2622593276691232,1.0,0.9882943143812709,4.84606893661943
38,proxy_rejected_stratified_diverse,0.2886324805570892,0,0.0,0.0,0.015271258803071508,0.0,0.0,0.27336122175401767,1.0,0.4974916387959866,5.976402160664271
38,random_final_population,0.2886324805570892,0,0.0,0.0,0.01738318749551354,0.0,0.0,0.27124929306157564,1.0,0.44941471571906355,4.005805832380602
39,action_diverse,4.05709123375668e-14,1,0.0,0.0,0.0,0.0,1.0,4.05709123375668e-14,1.0,0.4866220735785953,5.942033539017839
39,proxy_hard,4.05709123375668e-14,1,0.0,0.0,0.0,0.0,1.0,4.05709123375668e-14,1.0,0.9882943143812709,4.90852746071452
39,proxy_rejected_stratified_diverse,4.05709123375668e-14,1,0.0,0.0,0.0,0.0,1.0,4.05709123375668e-14,1.0,0.5087792642140467,6.281939118751491
39,random_final_population,4.05709123375668e-14,1,0.0,0.0,0.0,0.0,1.0,4.05709123375668e-14,1.0,0.697324414715719,4.602787274219998
40,action_diverse,0.003312216530036669,1,0.0,0.0,0.0,0.0,1.0,0.003312216530036669,1.0,0.5351170568561873,4.4256649563242245
40,proxy_hard,0.003312216530036669,1,0.0,0.0,0.0,0.0,1.0,0.003312216530036669,1.0,0.9882943143812709,4.247400458882947
40,proxy_rejected_stratified_diverse,0.003312216530036669,1,0.0,0.0,0.0,0.0,1.0,0.003312216530036669,1.0,0.515886287625418,4.707400188642788
40,random_final_population,0.003312216530036669,1,0.0,0.0,0.0,0.0,1.0,0.003312216530036669,1.0,0.5484949832775919,3.8793535849219802
41,action_diverse,0.18525463615624302,0,0.0,0.0,0.0,0.0,0.0,0.18525463615624302,1.0,0.38001672240802675,5.86786188616472
41,proxy_hard,0.18525463615624302,0,0.0,0.0,0.0,0.0,0.0,0.18525463615624302,1.0,0.9882943143812709,4.921546091875498
41,proxy_rejected_stratified_diverse,0.18525463615624302,0,0.0,0.0,0.0,0.0,0.0,0.18525463615624302,1.0,0.49289297658862874,6.223178531288207
41,random_final_population,0.18525463615624302,0,0.0,0.0,0.0,0.0,0.0,0.18525463615624302,1.0,0.5104515050167224,4.812020092415555
42,action_diverse,0.19602207015021456,0,0.0,0.0,0.0,0.0,0.0,0.19602207015021456,1.0,0.44857859531772576,5.750295469429997
42,proxy_hard,0.19602207015021456,0,0.0,0.0,0.0,0.0,0.0,0.19602207015021456,1.0,0.9882943143812709,4.64458803777524
42,proxy_rejected_stratified_diverse,0.19602207015021456,0,0.0,0.0,0.0,0.0,0.0,0.19602207015021456,1.0,0.5008361204013378,6.065707160290083
42,random_final_population,0.19602207015021456,0,0.0,0.0,0.0,0.0,0.0,0.19602207015021456,1.0,0.5518394648829432,4.6404193114829715
43,action_diverse,0.11426965874228773,0,1.0,0.09324448497932987,0.09324448497932987,1.0,1.0,0.021025173762957854,1.0,0.689799331103679,5.2825935133861694
43,proxy_hard,0.11426965874228773,0,1.0,0.07714142481157849,0.07714142481157849,1.0,1.0,0.03712823393070925,1.0,0.9882943143812709,4.288837902246266
43,proxy_rejected_stratified_diverse,0.11426965874228773,0,1.0,0.09324448497932987,0.09324448497932987,1.0,1.0,0.021025173762957854,1.0,0.5075250836120402,5.38922083802796
