snapshot,budget,start_distance_m,nominal_support_success,terminal_success,event_success,terminal_final_distance_m,event_final_distance_m,terminal_final_stage,event_final_stage
49,64,0.15760926296185374,1,1,1,0.028708299175058075,0.028708299175058075,5,5
50,64,0.10599481211425192,1,1,1,0.031097742782058967,0.031097742782058967,5,5
51,64,0.3022862731809545,1,1,1,0.021343124673619693,0.02368365388313876,5,5
52,64,0.26692497013059546,1,1,1,0.030404457386235456,0.024970918444339196,5,5
53,64,0.12888886863938356,1,1,1,0.02336307454473674,0.0249758983657916,5,5
54,64,0.15181858944232912,1,1,1,0.03698693175943783,0.03698693175943783,5,5
55,64,0.2790104625481906,1,1,1,0.012315463917621458,0.012315463917621458,5,5
56,64,0.17297203651813042,1,1,1,0.016892865528683167,0.024005747392924128,5,5
57,64,0.16337545251443267,1,1,1,0.01989856638680268,0.01989856638680268,5,5
58,64,0.31004724428102365,1,1,1,0.02586476655490365,0.02586476655490365,5,5
59,64,0.22852621099166234,1,1,1,0.016130456074139064,0.009726600801922034,5,5
60,64,0.20510259184670768,1,1,1,0.028583804131504423,0.028583804131504423,5,5
61,64,0.19605156966747156,1,1,1,0.03350467549958079,0.03047452227639347,5,5
62,64,0.3061750859748259,1,1,1,0.017149094189509075,0.017149094189509075,5,5
63,64,0.29959015052880283,1,1,1,0.01713266059331053,0.00764346403257919,5,5
64,64,0.08373611093426135,1,1,1,0.02978445801419329,0.02978445801419329,5,5
