snapshot,arm,anchor_physical_distance_m,anchor_success,inversion_hit,best_corrective_advantage_m,best_any_advantage_m,any_success_gain,selected_success_any,best_selected_distance_m,proxy_rejected_fraction,mean_proxy_rank_fraction,mean_action_distance_from_anchor,mean_proxy_instability,mean_cem_disagreement
57,random_final_population,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.4619565217391305,4.216402048219872,0.18390417192638964,-0.026755852842809347
58,action_diverse,0.2546241477030514,0,1.0,0.22369988089215934,0.22369988089215934,1.0,1.0,0.030924266810892078,1.0,0.5514214046822743,5.867244212104005,0.17186888107675444,-0.2069397993311037
58,cem_disagreement_diverse,0.2546241477030514,0,1.0,0.21912090033968362,0.21912090033968362,1.0,1.0,0.03550324736336781,1.0,0.6989966555183946,4.871658266436523,0.20473008174204071,0.41806020066889626
58,proxy_instability_diverse,0.2546241477030514,0,1.0,0.22350714204469435,0.22350714204469435,1.0,1.0,0.031117005658357066,1.0,0.3566053511705686,5.384815838636768,0.3749562859324544,-0.20693979933110368
58,random_final_population,0.2546241477030514,0,1.0,0.22537789128966368,0.22537789128966368,1.0,1.0,0.029246256413387725,1.0,0.32357859531772576,4.785223451091789,0.2518187232395194,-0.10994983277591971
59,action_diverse,0.45013428268686984,0,1.0,0.022866616724334488,0.022866616724334488,0.0,0.0,0.42726766596253535,1.0,0.5405518394648829,5.369109930836498,0.01639531981693452,-0.1258361204013378
59,cem_disagreement_diverse,0.45013428268686984,0,0.0,0.0,0.012898438183133187,0.0,0.0,0.43723584450373665,1.0,0.8419732441471572,4.821505764435404,0.029349954123066464,0.43687290969899667
59,proxy_instability_diverse,0.45013428268686984,0,1.0,0.022042931829256707,0.022042931829256707,0.0,0.0,0.42809135085761313,1.0,0.6743311036789298,4.9473488611686225,0.03136514548468872,-0.00041806020066888216
59,random_final_population,0.45013428268686984,0,1.0,0.024158992554061953,0.024158992554061953,0.0,0.0,0.4259752901328079,1.0,0.5050167224080268,4.1949153048378545,0.02589210700422276,0.22366220735785952
60,action_diverse,1.537364756713039e-08,1,0.0,0.0,0.0,0.0,1.0,1.537364756713039e-08,1.0,0.4995819397993311,5.978719259776931,0.22746147179349402,-0.2746655518394649
60,cem_disagreement_diverse,1.537364756713039e-08,1,0.0,0.0,0.0,0.0,1.0,1.537364756713039e-08,1.0,0.7633779264214047,5.54722935206814,0.19106762337349123,0.4485785953177257
60,proxy_instability_diverse,1.537364756713039e-08,1,0.0,0.0,0.0,0.0,1.0,1.537364756713039e-08,1.0,0.532190635451505,5.786870308611283,0.2748306253170226,0.02926421404682275
