dataset,task,model,regime,n_transitions,n_boundary,boundary_threshold,mean_boundary_score,bb,bb_lo,bb_hi,bb_boundary,bb_boundary_lo,bb_boundary_hi,status,s_z,s_g,beta
metaworld,mw-door-open,dino_wm_metaworld+metric_blend,pre_grasp,263,220,0.004691420355811715,0.006454816088080406,1.8884305567313286,1.5580571786837083,2.1784060601654143,2.135654865889892,1.7820400287042697,2.4807567251427196,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-drawer-close,dino_wm_metaworld+metric_blend,contact_manipulation,187,41,0.004691420355811715,0.004239147063344717,0.4204721477698448,0.38284629720381097,0.45876109425713407,0.67037591005717,0.5809802941714405,0.7517957292184768,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-drawer-close,dino_wm_metaworld+metric_blend,pre_grasp,904,263,0.004691420355811715,0.003906370140612125,1.0796471184606584,0.9503249015320713,1.206036333769005,1.7288550098336213,1.5941075861980312,1.8226153864183825,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-hammer,dino_wm_metaworld+metric_blend,contact_manipulation,513,11,0.004691420355811715,0.0034999572671949863,0.011277110998079189,0.006103109911847005,0.017869510340789922,0.0543209669933755,0.0,0.14485798675790734,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-hammer,dino_wm_metaworld+metric_blend,free_space,164,0,0.004691420355811715,0.003350792219862342,0.03534372429854902,0.00015903103414811884,0.10525127982033902,,,,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-hammer,dino_wm_metaworld+metric_blend,pre_grasp,463,19,0.004691420355811715,0.004012980032712221,0.09965019248382542,0.07596493716715871,0.12402922663210822,0.19267798496249675,0.09262963808782283,0.2808301040385447,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-peg-insert-side,dino_wm_metaworld+metric_blend,contact_manipulation,355,16,0.004691420355811715,0.003835839219391346,0.027299469230485957,0.01483807032984419,0.0417420142808964,0.0732245694530317,0.0,0.1666214954340528,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-peg-insert-side,dino_wm_metaworld+metric_blend,free_space,341,18,0.004691420355811715,0.0037420534063130617,0.01106127038008583,0.0032948833365501196,0.01945270861704616,0.12269247342141092,0.036694143209561124,0.20307799932681092,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-peg-insert-side,dino_wm_metaworld+metric_blend,pre_grasp,444,40,0.004691420355811715,0.004000204615294933,0.08558907738747765,0.05503268266341412,0.1189385612049403,0.15728588111298297,0.07130116393104266,0.25270857896936455,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-pick-place,dino_wm_metaworld+metric_blend,contact_manipulation,381,101,0.004691420355811715,0.003926449455320835,0.10053252844756948,0.07140478531855142,0.133728270778504,0.2671669332816845,0.20222428926241737,0.33090612496250466,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-pick-place,dino_wm_metaworld+metric_blend,free_space,259,3,0.004691420355811715,0.0032329990062862635,0.007976631213780193,0.0008773719848811264,0.018648863974898802,,,,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-pick-place,dino_wm_metaworld+metric_blend,pre_grasp,500,52,0.004691420355811715,0.0037380338180810213,0.09441861603687444,0.0637716260921921,0.13165477858464267,0.358208931354073,0.2705789009268598,0.43950768145949043,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-push,dino_wm_metaworld+metric_blend,contact_manipulation,341,164,0.004691420355811715,0.004475081339478493,0.3286342291004597,0.2837239706998488,0.37120181227407645,0.5656414696122833,0.5054254862698261,0.6254883349507201,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-push,dino_wm_metaworld+metric_blend,free_space,203,0,0.004691420355811715,0.003118466353043914,0.001358296420161857,0.0,0.003939530797849585,,,,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-push,dino_wm_metaworld+metric_blend,pre_grasp,596,152,0.004691420355811715,0.003944912925362587,0.3343112090275665,0.26396955749135986,0.41708642969012666,0.7639810539382523,0.6610790686726585,0.8501827778620398,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-reach,dino_wm_metaworld+metric_blend,free_space,1140,38,0.004691420355811715,0.003034877823665738,0.056369617043843856,0.03833872844238386,0.07804949114666027,0.6347280018626068,0.4971693807287588,0.7559953716890196,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-stick-pull,dino_wm_metaworld+metric_blend,contact_manipulation,565,122,0.004691420355811715,0.004402455408126116,0.06779965930358554,0.041783912212844374,0.09913776763626889,0.21920766284480156,0.11283286655664393,0.3125698100341208,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-stick-pull,dino_wm_metaworld+metric_blend,free_space,244,31,0.004691420355811715,0.004233466926962137,0.021122432610699526,0.009744146474784075,0.03383550417532746,0.0539198780758479,0.0,0.13347818707490466,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-stick-pull,dino_wm_metaworld+metric_blend,pre_grasp,331,51,0.004691420355811715,0.004255674313753843,0.13052950256599988,0.10027046540902523,0.16060177498819891,0.25751719454138805,0.16669010739412227,0.3656610640493112,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-window-close,dino_wm_metaworld+metric_blend,contact_manipulation,195,108,0.004691420355811715,0.004534676671028137,0.48201319883168486,0.3921959990539883,0.5772050129561437,0.7420259825777221,0.6527594396629561,0.8367411932769918,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-window-close,dino_wm_metaworld+metric_blend,free_space,491,194,0.004691420355811715,0.0043294550850987434,0.13019014331840786,0.04911681258102678,0.22580959338170933,0.22373787600616468,0.045786266790618,0.46097863573344605,ok,169.30589294433594,0.12760527431964874,1.0
metaworld,mw-window-close,dino_wm_metaworld+metric_blend,pre_grasp,454,120,0.004691420355811715,0.003035623347386718,0.5690818547425757,0.43764697827889076,0.7089378841082457,1.237308211674093,1.044798125593391,1.416131131993034,ok,169.30589294433594,0.12760527431964874,1.0
