snapshot,arm,anchor_physical_distance_m,anchor_success,inversion_hit,best_corrective_advantage_m,best_any_advantage_m,best_improvement_per_query_m,any_success_gain,selected_success_any,best_selected_distance_m,native_rejected_fraction,auxiliary_prefers_fraction,directional_positive_fraction,mean_crod_score,mean_native_rank_fraction,mean_auxiliary_rank_fraction,mean_action_distance_from_anchor
86,rejected_action_diverse,0.039854559320820056,1,0.0,0.0,0.00950013445955378,0.0011875168074442226,0.0,1.0,0.030354424861266275,1.0,0.0,0.0,0.0,0.73125,0.7795833333333333,5.24039891713079
87,action_diverse,0.052257988744225534,0,0.0,0.0,0.00017652858742768507,2.2066073428460634e-05,0.0,0.0,0.05208146015679785,1.0,0.375,0.375,0.011002777777777783,0.6975,0.5733333333333334,4.448975386189277
87,crod_directional,0.052257988744225534,0,0.0,0.0,0.00035961887283406796,4.4952359104258495e-05,0.0,0.0,0.051898369871391466,1.0,1.0,1.0,0.2964430555555556,0.9016666666666666,0.027916666666666666,3.814155632029963
87,dino_best_rejected,0.052257988744225534,0,0.0,0.0,0.006535408601458174,0.0008169260751822718,0.0,0.0,0.04572258014276736,1.0,1.0,1.0,0.2615819444444445,0.7575000000000001,0.011666666666666667,3.8744200539843248
87,native_uncertainty_diverse,0.052257988744225534,0,0.0,0.0,0.000747726368461217,9.346579605765213e-05,0.0,0.0,0.05151026237576432,1.0,0.75,0.75,0.04742222222222223,0.4266666666666667,0.33375,3.9560693649240095
87,random_rejected,0.052257988744225534,0,0.0,0.0,0.0005630017517620697,7.037521897025872e-05,0.0,0.0,0.051694986992463464,1.0,0.25,0.25,0.017188888888888892,0.5420833333333334,0.5208333333333334,3.818955490860577
87,rejected_action_diverse,0.052257988744225534,0,0.0,0.0,0.00017652858742768507,2.2066073428460634e-05,0.0,0.0,0.05208146015679785,1.0,0.375,0.375,0.011002777777777783,0.6975,0.5733333333333334,4.448975386189277
88,action_diverse,0.03420691387097626,1,0.0,0.0,0.013704956553191858,0.0017131195691489822,0.0,1.0,0.020501957317784404,1.0,0.875,0.875,0.08880277777777779,0.5179166666666667,0.25458333333333333,5.549912189038589
88,crod_directional,0.03420691387097626,1,0.0,0.0,0.006434874630425445,0.0008043593288031806,0.0,1.0,0.027772039240550817,1.0,1.0,1.0,0.34739583333333335,0.8875,0.03083333333333333,4.610283398447699
88,dino_best_rejected,0.03420691387097626,1,0.0,0.0,0.010050823091916232,0.001256352886489529,0.0,1.0,0.02415609077906003,1.0,1.0,1.0,0.31590972222222224,0.7729166666666667,0.011666666666666667,4.889475015265378
88,native_uncertainty_diverse,0.03420691387097626,1,0.0,0.0,0.015323682277286844,0.0019154602846608556,0.0,1.0,0.018883231593689417,1.0,0.375,0.375,0.013791666666666669,0.18291666666666667,0.46375000000000005,5.214056794354551
88,random_rejected,0.03420691387097626,1,0.0,0.0,0.009663284346798008,0.001207910543349751,0.0,1.0,0.024543629524178254,1.0,0.375,0.375,0.009693055555555555,0.3804166666666667,0.6558333333333333,4.52211620359223
88,rejected_action_diverse,0.03420691387097626,1,0.0,0.0,0.013704956553191858,0.0017131195691489822,0.0,1.0,0.020501957317784404,1.0,0.875,0.875,0.08880277777777779,0.5179166666666667,0.25458333333333333,5.549912189038589
89,action_diverse,3.777901781359063e-11,1,0.0,0.0,0.0,0.0,0.0,1.0,3.777901781359063e-11,1.0,0.375,0.375,0.06316944444444444,0.6445833333333333,0.48416666666666663,6.381386389736897
89,crod_directional,3.777901781359063e-11,1,0.0,0.0,0.0,0.0,0.0,1.0,3.777901781359063e-11,1.0,1.0,1.0,0.24875972222222226,0.7633333333333333,0.06166666666666667,5.120677093893386
89,dino_best_rejected,3.777901781359063e-11,1,0.0,0.0,0.0,0.0,0.0,1.0,3.777901781359063e-11,1.0,1.0,1.0,0.13407083333333333,0.3541666666666667,0.011666666666666667,4.932713743398526
89,native_uncertainty_diverse,3.777901781359063e-11,1,0.0,0.0,0.0,0.0,0.0,1.0,3.777901781359063e-11,1.0,0.25,0.25,0.006561111111111112,0.42375,0.6216666666666667,5.687610583381022
89,random_rejected,3.777901781359063e-11,1,0.0,0.0,0.0,0.0,0.0,1.0,3.777901781359063e-11,1.0,0.375,0.375,0.04760416666666667,0.4958333333333333,0.47,5.045997268446236
89,rejected_action_diverse,3.777901781359063e-11,1,0.0,0.0,0.0,0.0,0.0,1.0,3.777901781359063e-11,1.0,0.375,0.375,0.06316944444444444,0.6445833333333333,0.48416666666666663,6.381386389736897
90,action_diverse,0.02999912954357913,1,0.0,0.0,0.010325886613057972,0.0012907358266322465,0.0,1.0,0.019673242930521157,1.0,0.0,0.0,0.0,0.43375,0.39708333333333334,6.575696162392147
90,crod_directional,0.02999912954357913,1,0.0,0.0,0.007837965499905016,0.000979745687488127,0.0,1.0,0.022161164043674113,1.0,0.75,0.75,0.0027416666666666666,0.40083333333333326,0.20791666666666667,5.518657693143772
90,dino_best_rejected,0.02999912954357913,1,0.0,0.0,0.005928091177009095,0.0007410113971261368,0.0,1.0,0.024071038366570034,1.0,0.75,0.75,0.0027416666666666666,0.2370833333333333,0.0125,5.364691558794467
90,native_uncertainty_diverse,0.02999912954357913,1,0.0,0.0,0.014829777019883004,0.0018537221274853755,0.0,1.0,0.015169352523696125,1.0,0.0,0.0,0.0,0.19125,0.2791666666666667,6.04114318804262
90,random_rejected,0.02999912954357913,1,0.0,0.0,0.010373642930892085,0.0012967053663615106,0.0,1.0,0.019625486612687044,1.0,0.0,0.0,0.0,0.3995833333333333,0.42416666666666664,4.929139075486896
90,rejected_action_diverse,0.02999912954357913,1,0.0,0.0,0.010325886613057972,0.0012907358266322465,0.0,1.0,0.019673242930521157,1.0,0.0,0.0,0.0,0.43375,0.39708333333333334,6.575696162392147
91,action_diverse,0.0025466838187892457,1,0.0,0.0,0.00094474123176425,0.00011809265397053125,0.0,1.0,0.0016019425870249957,1.0,0.0,0.0,0.0,0.49916666666666665,0.59625,5.752004118802035
91,crod_directional,0.0025466838187892457,1,0.0,0.0,0.0014134662621952444,0.00017668328277440555,0.0,1.0,0.0011332175565940013,1.0,1.0,1.0,0.04391944444444445,0.5354166666666667,0.027500000000000004,4.3455442259048
