tag,task,seed,replan,phase,rho,recall,r_sel_cm,n
dino_push_l2,mw-push,41015,6,final,-0.015409540954095408,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41000,0,init,0.3647164716471647,0.9,0.0,100
dino_push_v2_random_s0,mw-push,41000,0,final,0.2902490249024902,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41000,1,init,0.742970297029703,0.0,0.22356212139129084,100
dino_push_v2_random_s0,mw-push,41000,1,final,0.14467446744674464,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41000,2,init,0.52008400840084,0.3,0.12174844741821289,100
dino_push_v2_random_s0,mw-push,41000,2,final,-0.06253844145975179,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41000,3,init,0.3569876987698769,0.2,0.0,100
dino_push_v2_random_s0,mw-push,41000,3,final,0.16168016801680163,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41000,4,init,0.3906030603060306,0.1,0.22593736648559015,100
dino_push_v2_random_s0,mw-push,41000,4,final,-0.07393939393939393,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41000,5,init,0.45220522052205214,0.2,0.11946260929107111,100
dino_push_v2_random_s0,mw-push,41000,5,final,0.10568256825682568,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41000,6,init,0.14825082508250825,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41000,6,final,-0.1598439843984398,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41001,0,init,0.25627362736273623,0.4,0.0,100
dino_push_v2_random_s0,mw-push,41001,0,final,0.2412241224122412,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41001,1,init,0.6710591059105909,0.2,0.0,100
dino_push_v2_random_s0,mw-push,41001,1,final,-0.09842184218421841,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41001,2,init,0.5817221722172217,0.2,0.6100028753280695,100
dino_push_v2_random_s0,mw-push,41001,2,final,0.04376837683768376,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41001,3,init,0.4129132913291329,0.2,0.0,100
dino_push_v2_random_s0,mw-push,41001,3,final,0.11493549354935492,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41001,4,init,0.22474647464746472,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41001,4,final,0.19857185718571854,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41001,5,init,0.18745874587458744,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41001,5,final,0.33524152415241515,0.2,0.0,100
dino_push_v2_random_s0,mw-push,41001,6,init,0.2048964896489649,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41001,6,final,0.03824782478247824,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41002,0,init,0.42090609060906087,0.6,0.0,100
dino_push_v2_random_s0,mw-push,41002,0,final,0.2557215721572157,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41002,1,init,0.6299309930993099,0.2,0.0,100
dino_push_v2_random_s0,mw-push,41002,1,final,0.19649564956495646,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41002,2,init,0.33390939093909383,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41002,2,final,0.1575037503750375,0.2,0.0,100
dino_push_v2_random_s0,mw-push,41002,3,init,0.19483948394839481,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41002,3,final,0.09528952895289527,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41002,4,init,0.29068106810681066,0.2,0.0,100
dino_push_v2_random_s0,mw-push,41002,4,final,0.17730026192777648,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41002,5,init,0.019825982598259823,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41002,5,final,-0.0945094509450945,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41002,6,init,0.13784578457845784,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41002,6,final,0.059753975397539745,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41003,0,init,0.25606960696069603,0.5,0.0,100
dino_push_v2_random_s0,mw-push,41003,0,final,0.008088808880888088,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41003,1,init,0.639207920792079,0.3,1.2135311961173985,100
dino_push_v2_random_s0,mw-push,41003,1,final,0.06864686468646865,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41003,2,init,0.3300690069006901,0.0,0.3089636564254705,100
dino_push_v2_random_s0,mw-push,41003,2,final,0.06315031503150315,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41003,3,init,0.49947794779477944,0.0,1.45258158445358,100
dino_push_v2_random_s0,mw-push,41003,3,final,0.24644464446444642,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41003,4,init,0.04546054605460545,0.0,0.2899870276451083,100
dino_push_v2_random_s0,mw-push,41003,4,final,0.05952595259525952,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41003,5,init,0.32710471047104706,0.0,0.9549036622047397,100
dino_push_v2_random_s0,mw-push,41003,5,final,0.18393039303930392,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41003,6,init,0.09054905490549055,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41003,6,final,-0.1388178817881788,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41004,0,init,0.33299729972997294,0.6,0.0,100
dino_push_v2_random_s0,mw-push,41004,0,final,0.1460906090609061,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41004,1,init,0.3439543954395439,0.2,0.0,100
dino_push_v2_random_s0,mw-push,41004,1,final,-0.18301830183018297,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41004,2,init,0.23513951395139512,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41004,2,final,0.17009300930093008,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41004,3,init,0.3266006600660065,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41004,3,final,0.09152115211521152,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41004,4,init,0.2336033603360336,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41004,4,final,0.1676447644764476,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41004,5,init,0.30977497749774974,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41004,5,final,-0.0033843384338433837,0.3,0.0,100
dino_push_v2_random_s0,mw-push,41004,6,init,0.1892229222922292,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41004,6,final,0.015001500150015001,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41005,0,init,0.3402820282028202,0.5,0.0,100
dino_push_v2_random_s0,mw-push,41005,0,final,-0.00216021602160216,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41005,1,init,0.5788658865886588,0.2,0.007712841033929996,100
dino_push_v2_random_s0,mw-push,41005,1,final,0.2285268526852685,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41005,2,init,0.5615961596159615,0.2,0.040939450263979826,100
dino_push_v2_random_s0,mw-push,41005,2,final,0.12308430843084306,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41005,3,init,0.3808580858085808,0.2,0.0,100
dino_push_v2_random_s0,mw-push,41005,3,final,0.1431023102310231,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41005,4,init,0.3596519651965196,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41005,4,final,0.12158415841584157,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41005,5,init,0.5027662766276627,0.2,0.9880855679511996,100
dino_push_v2_random_s0,mw-push,41005,5,final,0.22131413141314127,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41005,6,init,-0.35941194119411934,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41005,6,final,-0.06149414941494149,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41006,0,init,0.3195559555955595,0.4,0.0,100
dino_push_v2_random_s0,mw-push,41006,0,final,-0.1494269426942694,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41006,1,init,0.48406840684068403,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41006,1,final,0.2324152415241524,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41006,2,init,-0.14875487548754873,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41006,2,final,-0.08682868286828681,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41006,3,init,0.19175517551755175,0.1,1.0817766189575195,100
dino_push_v2_random_s0,mw-push,41006,3,final,-0.0018001800180018,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41006,4,init,0.5186558655865586,0.0,1.5485242009162876,100
dino_push_v2_random_s0,mw-push,41006,4,final,0.22737473747374734,0.0,2.03389376401901,100
dino_push_v2_random_s0,mw-push,41006,5,init,0.5297089708970897,0.1,2.1578118205070496,100
dino_push_v2_random_s0,mw-push,41006,5,final,-0.38611461146114606,0.0,3.9032801985740715,100
dino_push_v2_random_s0,mw-push,41006,6,init,0.5683768376837683,0.1,1.48726552724838,100
dino_push_v2_random_s0,mw-push,41006,6,final,-0.3002340234023402,0.1,0.6699070334434509,100
dino_push_v2_random_s0,mw-push,41007,0,init,0.3284008400840083,0.5,0.0,100
dino_push_v2_random_s0,mw-push,41007,0,final,0.19883648015835112,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41007,1,init,0.47662766276627666,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41007,1,final,0.028610861086108608,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41007,2,init,0.2472367236723672,0.0,0.19506365060805997,100
dino_push_v2_random_s0,mw-push,41007,2,final,0.15063906390639062,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41007,3,init,0.3023342334233423,0.2,0.0,100
dino_push_v2_random_s0,mw-push,41007,3,final,0.05892589258925892,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41007,4,init,0.0819081908190819,0.0,0.0,100
dino_push_v2_random_s0,mw-push,41007,4,final,-0.03186318631863186,0.1,0.0,100
dino_push_v2_random_s0,mw-push,41007,5,init,0.11797179717971797,0.2,0.0,100
