snapshot,population,spearman_learned_true_latent,spearman_true_latent_physical,spearman_learned_physical,top10pct_recall_true_latent,top10pct_recall_physical,false_elite_rate_physical,dynamics_selection_regret_latent,representation_selection_regret_m,end_to_end_selection_regret_m,selected_physical_distance_m,latent_selected_physical_distance_m,oracle_physical_distance_m,candidate_headroom_m,start_physical_distance_m,oracle_improvement_m,selected_success,latent_selected_success,oracle_candidate_success,representation_success_gap,end_to_end_success_gap
24,final,-0.03379637927047869,0.4273476846795751,0.052957921754686166,0.16666666666666666,0.16666666666666666,0.5,100.79299926757812,0.00040189875640582115,0.018592635299610735,0.037304905182495664,0.01911416863929075,0.01871226988288493,0.018584244425519057,0.04461307948343918,0.02590080960055425,1.0,1.0,1.0,0.0,0.0
24,initial,0.11669285214280158,0.6768319647996087,0.027337192635473725,0.06666666666666667,0.03333333333333333,0.5666666666666667,164.66937255859375,0.015507061623602582,0.018944333385111093,0.03141003480092462,0.02797276303941611,0.012465701415813529,0.02230042700613809,0.04461307948343918,0.032147378067625645,1.0,1.0,1.0,0.0,0.0
25,final,0.05529972555250614,0.8343674929721441,0.013529483660929565,0.16666666666666666,0.1,0.36666666666666664,355.74554443359375,0.019222934940827663,0.03414491163862365,0.03898691650519567,0.024064939807399693,0.004842004866572029,0.019911313951220092,0.1523616872467015,0.14751968238012947,1.0,1.0,1.0,0.0,0.0
25,initial,0.4025386948743875,0.8210971233013699,0.3023073589706552,0.2,0.3,0.23333333333333334,137.2362060546875,0.0,0.021755500451003693,0.03098215926567304,0.009226658814669348,0.009226658814669348,0.029804415149589102,0.1523616872467015,0.14313502843203213,1.0,1.0,1.0,0.0,0.0
26,final,-0.006231180346448293,-0.33318567327042614,-0.06840913833224993,0.03333333333333333,0.16666666666666666,0.03333333333333333,3.970714569091797,8.684095089225768e-14,3.004901329742154e-13,9.164981027593595e-13,7.028489206774018e-13,6.160079697851441e-13,3.004901329742154e-13,2.869338808319569e-14,-5.873145817019485e-13,1.0,1.0,1.0,0.0,0.0
26,initial,-0.03376393071034123,-0.03909395217814062,0.07673929520971544,0.1,0.16666666666666666,0.43333333333333335,25.290599822998047,1.4358238240098632e-13,6.594919135505462e-14,5.236848735999439e-13,6.013180646458756e-13,4.577356822448893e-13,2.451084781846405e-13,2.869338808319569e-14,-4.2904229416169363e-13,1.0,1.0,1.0,0.0,0.0
27,final,-0.0801593440104166,0.029469222873414785,0.0002235580643738349,0.06666666666666667,0.03333333333333333,0.6666666666666666,48.83758544921875,0.004509673185523588,0.0030642097977487404,0.30182623343891757,0.3032716968266924,0.29876202364116883,0.002836457982551388,0.3015984816200791,0.002836457978910245,0.0,0.0,0.0,0.0,0.0
27,initial,0.24484494272158577,-0.3878278647540528,-0.023389148768319646,0.2,0.06666666666666667,0.4666666666666667,71.58389282226562,0.05918295027982251,0.07121236970271905,0.32287923811804575,0.3108498186951492,0.2516668684153267,0.049715711878176916,0.3015984816200791,0.04993161320475237,0.0,0.0,0.0,0.0,0.0
28,final,0.16220313559039545,0.6091352126134734,0.03420571339681552,0.1,0.1,0.5666666666666667,235.36997985839844,0.009127311097445565,0.09655651518349512,0.11781467071031242,0.030385466624262867,0.021258155526817302,0.09655640624416924,0.09865602722299929,0.077397871696182,0.0,1.0,1.0,0.0,1.0
28,initial,0.6760644007155634,0.6556899521105789,0.3825758063978488,0.43333333333333335,0.43333333333333335,0.23333333333333334,37.551422119140625,0.0,0.03514829148422745,0.06805619559609823,0.03290790411187078,0.03290790411187078,0.0895569161203948,0.09865602722299929,0.06574812311112851,0.0,1.0,1.0,0.0,1.0
29,final,0.1182084245380504,0.8921854687274303,0.0994606606740075,0.03333333333333333,0.13333333333333333,0.4666666666666667,366.86700439453125,0.014840429432294928,0.20843431869649134,0.22765140431300032,0.03405751504880391,0.01921708561650898,0.20720278164160008,0.2300895976100029,0.2108725119934939,0.0,1.0,1.0,0.0,1.0
29,initial,0.5658538428204757,0.4142668251869466,0.1937368192979922,0.2,0.13333333333333333,0.3333333333333333,225.063720703125,0.0,0.1323648121241388,0.22739461564348912,0.09502980351935032,0.09502980351935032,0.13296009179736745,0.2300895976100029,0.13505979409065255,0.0,0.0,0.0,0.0,0.0
30,final,-0.006821409126768075,0.6584428715874621,-0.05936465960732897,0.1,0.1,0.4,37.410308837890625,0.10789465091749335,0.11795878465780961,0.1933944617999431,0.18333032805962685,0.07543567714213349,0.17440517336926858,0.33849940995791233,0.26306373281577883,0.0,0.0,0.0,0.0,0.0
30,initial,0.3210506783408704,-0.2383190924343604,-0.1400913343481594,0.23333333333333334,0.1,0.5,128.56544494628906,0.0,0.11750939868750887,0.15407452080010672,0.036565122112597846,0.036565122112597846,0.12163525961003582,0.33849940995791233,0.3019342878453145,0.0,1.0,1.0,0.0,1.0
31,final,0.039321325792508806,0.054230380337559295,0.033663485149835,0.1,0.23333333333333334,0.3333333333333333,186.81124877929688,0.020524049449851634,0.02260692549470846,0.027109533478591248,0.02502665743373442,0.004502607983882786,0.022965494581110624,0.1470569112811701,0.14255430329728733,1.0,1.0,1.0,0.0,0.0
31,initial,0.37006188957655084,0.40667474083045363,0.31772175246391626,0.3,0.13333333333333333,0.26666666666666666,282.9842834472656,0.03020112318376237,0.030874751382218256,0.03872670208132934,0.038053073882873455,0.007851950699111083,0.045981730512615226,0.1470569112811701,0.13920496058205903,1.0,1.0,1.0,0.0,0.0
